Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,53.85,54.59,53.69,53.99,53.99,1299800
2019-04-02,54.08,54.23,53.77,54.05,54.05,1030800
2019-04-03,54.44,54.9,54.1,54.5,54.5,1065500
2019-04-04,54.46,55.15,54.46,54.82,54.82,879400
2019-04-05,55.01,55.21,54.85,55.17,55.17,806500
2019-04-08,54.8,55.49,54.54,55.22,55.22,1277400
2019-04-09,54.83,54.96,53.8,53.84,53.84,1021100
2019-04-10,53.99,54.2,53.54,54.19,54.19,1085500
2019-04-11,54.26,54.94,54.16,54.89,54.89,725700
2019-04-12,55.23,55.59,55.04,55.51,55.51,740400
2019-04-15,55.54,55.76,55.29,55.59,55.59,503500
2019-04-16,55.83,56.03,55.65,55.94,55.94,623900
2019-04-17,56.19,56.37,55.66,56.0,56.0,767700
2019-04-18,56.08,56.66,55.93,56.49,56.49,822200
2019-04-22,56.2,56.5,55.97,56.09,56.09,760100
2019-04-23,56.19,56.44,55.82,56.28,56.28,630100
2019-04-24,56.28,56.49,55.89,56.23,56.23,985400
2019-04-25,56.0,56.04,55.27,55.34,55.34,1054600
